[36/200] - ptime: 12.30, loss_D_A: 0.071, loss_D_B: 0.126, loss_G_A: 0.761, loss_G_B: 0.927, loss_A_cycle: 2.382, loss_B_cycle: 2.344
[37/200] - ptime: 9.59, loss_D_A: 0.069, loss_D_B: 0.184, loss_G_A: 0.760, loss_G_B: 0.758, loss_A_cycle: 2.436, loss_B_cycle: 2.311
[38/200] - ptime: 12.15, loss_D_A: 0.092, loss_D_B: 0.083, loss_G_A: 0.649, loss_G_B: 0.692, loss_A_cycle: 2.323, loss_B_cycle: 2.195
[39/200] - ptime: 9.85, loss_D_A: 0.119, loss_D_B: 0.062, loss_G_A: 0.721, loss_G_B: 0.715, loss_A_cycle: 2.338, loss_B_cycle: 2.302
[40/200] - ptime: 9.51, loss_D_A: 0.091, loss_D_B: 0.080, loss_G_A: 0.744, loss_G_B: 0.744, loss_A_cycle: 2.299, loss_B_cycle: 2.179
[41/200] - ptime: 11.91, loss_D_A: 0.069, loss_D_B: 0.067, loss_G_A: 0.712, loss_G_B: 0.751, loss_A_cycle: 2.245, loss_B_cycle: 2.197
[42/200] - ptime: 9.68, loss_D_A: 0.073, loss_D_B: 0.066, loss_G_A: 0.726, loss_G_B: 0.723, loss_A_cycle: 2.141, loss_B_cycle: 2.155
[43/200] - ptime: 9.34, loss_D_A: 0.070, loss_D_B: 0.065, loss_G_A: 0.731, loss_G_B: 0.776, loss_A_cycle: 2.149, loss_B_cycle: 2.157
[44/200] - ptime: 10.26, loss_D_A: 0.058, loss_D_B: 0.073, loss_G_A: 0.774, loss_G_B: 0.723, loss_A_cycle: 2.156, loss_B_cycle: 2.145
[45/200] - ptime: 10.94, loss_D_A: 0.071, loss_D_B: 0.102, loss_G_A: 0.765, loss_G_B: 0.632, loss_A_cycle: 2.209, loss_B_cycle: 2.331
[46/200] - ptime: 13.15, loss_D_A: 0.066, loss_D_B: 0.119, loss_G_A: 0.781, loss_G_B: 0.722, loss_A_cycle: 2.343, loss_B_cycle: 2.246
[47/200] - ptime: 10.06, loss_D_A: 0.086, loss_D_B: 0.081, loss_G_A: 0.786, loss_G_B: 0.663, loss_A_cycle: 2.065, loss_B_cycle: 2.122
[48/200] - ptime: 11.58, loss_D_A: 0.069, loss_D_B: 0.095, loss_G_A: 0.747, loss_G_B: 0.685, loss_A_cycle: 2.019, loss_B_cycle: 2.065
[49/200] - ptime: 9.14, loss_D_A: 0.067, loss_D_B: 0.107, loss_G_A: 0.773, loss_G_B: 0.679, loss_A_cycle: 2.023, loss_B_cycle: 2.069
[50/200] - ptime: 9.26, loss_D_A: 0.073, loss_D_B: 0.075, loss_G_A: 0.701, loss_G_B: 0.757, loss_A_cycle: 2.535, loss_B_cycle: 3.663
[51/200] - ptime: 12.35, loss_D_A: 0.062, loss_D_B: 0.054, loss_G_A: 0.786, loss_G_B: 0.753, loss_A_cycle: 1.985, loss_B_cycle: 2.150
[52/200] - ptime: 9.28, loss_D_A: 0.060, loss_D_B: 0.071, loss_G_A: 0.817, loss_G_B: 0.774, loss_A_cycle: 2.038, loss_B_cycle: 2.106
[53/200] - ptime: 12.03, loss_D_A: 0.069, loss_D_B: 0.078, loss_G_A: 0.771, loss_G_B: 0.731, loss_A_cycle: 2.006, loss_B_cycle: 1.988
[54/200] - ptime: 9.20, loss_D_A: 0.066, loss_D_B: 0.071, loss_G_A: 0.743, loss_G_B: 0.708, loss_A_cycle: 1.970, loss_B_cycle: 2.065
[55/200] - ptime: 9.85, loss_D_A: 0.064, loss_D_B: 0.072, loss_G_A: 0.761, loss_G_B: 0.757, loss_A_cycle: 1.948, loss_B_cycle: 1.965
[56/200] - ptime: 9.64, loss_D_A: 0.070, loss_D_B: 0.109, loss_G_A: 0.769, loss_G_B: 0.736, loss_A_cycle: 1.940, loss_B_cycle: 1.838
[57/200] - ptime: 14.53, loss_D_A: 0.067, loss_D_B: 0.071, loss_G_A: 0.783, loss_G_B: 0.773, loss_A_cycle: 1.941, loss_B_cycle: 1.741
[58/200] - ptime: 9.35, loss_D_A: 0.083, loss_D_B: 0.067, loss_G_A: 0.646, loss_G_B: 0.773, loss_A_cycle: 1.900, loss_B_cycle: 1.746
[59/200] - ptime: 12.46, loss_D_A: 0.092, loss_D_B: 0.069, loss_G_A: 0.750, loss_G_B: 0.664, loss_A_cycle: 1.954, loss_B_cycle: 1.783
[60/200] - ptime: 9.21, loss_D_A: 0.075, loss_D_B: 0.098, loss_G_A: 0.757, loss_G_B: 0.653, loss_A_cycle: 1.945, loss_B_cycle: 1.827
[61/200] - ptime: 12.23, loss_D_A: 0.083, loss_D_B: 0.106, loss_G_A: 0.716, loss_G_B: 0.681, loss_A_cycle: 1.919, loss_B_cycle: 1.776
[62/200] - ptime: 14.77, loss_D_A: 0.080, loss_D_B: 0.084, loss_G_A: 0.735, loss_G_B: 0.648, loss_A_cycle: 1.891, loss_B_cycle: 1.784
[63/200] - ptime: 13.97, loss_D_A: 0.085, loss_D_B: 0.134, loss_G_A: 0.772, loss_G_B: 0.737, loss_A_cycle: 1.881, loss_B_cycle: 1.763
[64/200] - ptime: 11.48, loss_D_A: 0.076, loss_D_B: 0.083, loss_G_A: 0.740, loss_G_B: 0.721, loss_A_cycle: 1.846, loss_B_cycle: 1.719
[65/200] - ptime: 10.05, loss_D_A: 0.077, loss_D_B: 0.079, loss_G_A: 0.694, loss_G_B: 0.670, loss_A_cycle: 1.824, loss_B_cycle: 1.716
[66/200] - ptime: 9.93, loss_D_A: 0.186, loss_D_B: 0.074, loss_G_A: 0.640, loss_G_B: 0.707, loss_A_cycle: 1.874, loss_B_cycle: 1.749
[67/200] - ptime: 10.87, loss_D_A: 0.089, loss_D_B: 0.079, loss_G_A: 0.669, loss_G_B: 0.750, loss_A_cycle: 1.809, loss_B_cycle: 1.704
[68/200] - ptime: 10.56, loss_D_A: 0.086, loss_D_B: 0.069, loss_G_A: 0.684, loss_G_B: 0.757, loss_A_cycle: 1.772, loss_B_cycle: 1.687
[69/200] - ptime: 9.55, loss_D_A: 0.082, loss_D_B: 0.069, loss_G_A: 0.654, loss_G_B: 0.751, loss_A_cycle: 1.767, loss_B_cycle: 1.693
[70/200] - ptime: 9.86, loss_D_A: 0.086, loss_D_B: 0.072, loss_G_A: 0.720, loss_G_B: 0.721, loss_A_cycle: 1.787, loss_B_cycle: 1.713
[71/200] - ptime: 12.53, loss_D_A: 0.068, loss_D_B: 0.069, loss_G_A: 0.723, loss_G_B: 0.745, loss_A_cycle: 1.740, loss_B_cycle: 1.647
[72/200] - ptime: 9.34, loss_D_A: 0.096, loss_D_B: 0.083, loss_G_A: 0.773, loss_G_B: 0.762, loss_A_cycle: 1.923, loss_B_cycle: 1.863
[73/200] - ptime: 12.03, loss_D_A: 0.082, loss_D_B: 0.070, loss_G_A: 0.702, loss_G_B: 0.758, loss_A_cycle: 1.756, loss_B_cycle: 1.718
[74/200] - ptime: 9.40, loss_D_A: 0.078, loss_D_B: 0.074, loss_G_A: 0.684, loss_G_B: 0.729, loss_A_cycle: 1.741, loss_B_cycle: 1.679
[75/200] - ptime: 9.08, loss_D_A: 0.081, loss_D_B: 0.073, loss_G_A: 0.703, loss_G_B: 0.783, loss_A_cycle: 1.749, loss_B_cycle: 1.624
[76/200] - ptime: 12.53, loss_D_A: 0.109, loss_D_B: 0.076, loss_G_A: 0.710, loss_G_B: 0.710, loss_A_cycle: 1.781, loss_B_cycle: 1.692
[77/200] - ptime: 11.43, loss_D_A: 0.081, loss_D_B: 0.082, loss_G_A: 0.749, loss_G_B: 0.733, loss_A_cycle: 1.870, loss_B_cycle: 1.692
[78/200] - ptime: 9.20, loss_D_A: 0.061, loss_D_B: 0.073, loss_G_A: 0.729, loss_G_B: 0.675, loss_A_cycle: 1.849, loss_B_cycle: 1.648
[79/200] - ptime: 13.14, loss_D_A: 0.062, loss_D_B: 0.083, loss_G_A: 0.765, loss_G_B: 0.625, loss_A_cycle: 1.866, loss_B_cycle: 1.675
[80/200] - ptime: 11.09, loss_D_A: 0.067, loss_D_B: 0.095, loss_G_A: 0.749, loss_G_B: 0.624, loss_A_cycle: 1.836, loss_B_cycle: 1.606
[81/200] - ptime: 14.50, loss_D_A: 0.055, loss_D_B: 0.099, loss_G_A: 0.751, loss_G_B: 0.734, loss_A_cycle: 1.795, loss_B_cycle: 1.579
[82/200] - ptime: 11.76, loss_D_A: 0.078, loss_D_B: 0.096, loss_G_A: 0.790, loss_G_B: 0.684, loss_A_cycle: 1.739, loss_B_cycle: 1.590
[83/200] - ptime: 10.94, loss_D_A: 0.070, loss_D_B: 0.075, loss_G_A: 0.795, loss_G_B: 0.717, loss_A_cycle: 1.738, loss_B_cycle: 1.557
[84/200] - ptime: 9.17, loss_D_A: 0.061, loss_D_B: 0.107, loss_G_A: 0.772, loss_G_B: 0.633, loss_A_cycle: 1.810, loss_B_cycle: 1.532
[85/200] - ptime: 9.29, loss_D_A: 0.061, loss_D_B: 0.103, loss_G_A: 0.783, loss_G_B: 0.675, loss_A_cycle: 1.851, loss_B_cycle: 1.691
[86/200] - ptime: 9.29, loss_D_A: 0.052, loss_D_B: 0.077, loss_G_A: 0.820, loss_G_B: 0.692, loss_A_cycle: 1.888, loss_B_cycle: 1.563
[87/200] - ptime: 9.77, loss_D_A: 0.066, loss_D_B: 0.081, loss_G_A: 0.803, loss_G_B: 0.686, loss_A_cycle: 1.791, loss_B_cycle: 1.535
[88/200] - ptime: 11.43, loss_D_A: 0.058, loss_D_B: 0.091, loss_G_A: 0.774, loss_G_B: 0.704, loss_A_cycle: 1.805, loss_B_cycle: 1.492
[89/200] - ptime: 9.31, loss_D_A: 0.050, loss_D_B: 0.112, loss_G_A: 0.811, loss_G_B: 0.681, loss_A_cycle: 1.773, loss_B_cycle: 1.482
[90/200] - ptime: 9.13, loss_D_A: 0.062, loss_D_B: 0.092, loss_G_A: 0.821, loss_G_B: 0.667, loss_A_cycle: 1.760, loss_B_cycle: 1.485
[91/200] - ptime: 10.58, loss_D_A: 0.066, loss_D_B: 0.086, loss_G_A: 0.802, loss_G_B: 0.688, loss_A_cycle: 1.803, loss_B_cycle: 1.536
[92/200] - ptime: 14.47, loss_D_A: 0.057, loss_D_B: 0.090, loss_G_A: 0.790, loss_G_B: 0.633, loss_A_cycle: 1.807, loss_B_cycle: 1.467
[93/200] - ptime: 12.54, loss_D_A: 0.095, loss_D_B: 0.082, loss_G_A: 0.640, loss_G_B: 0.638, loss_A_cycle: 1.820, loss_B_cycle: 1.601
[94/200] - ptime: 9.11, loss_D_A: 0.091, loss_D_B: 0.088, loss_G_A: 0.674, loss_G_B: 0.724, loss_A_cycle: 1.752, loss_B_cycle: 1.594
[95/200] - ptime: 9.08, loss_D_A: 0.086, loss_D_B: 0.096, loss_G_A: 0.645, loss_G_B: 0.676, loss_A_cycle: 1.782, loss_B_cycle: 1.554
